Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC control, rep2","LEC control, rep3","LEC control, rep4","LEC control, rep5","LEC control, rep6","LEC KSHV 72h, rep1","LEC KSHV 72h, rep2","LEC KSHV 72h, rep3","LEC KSHV 72h, rep4","LEC KSHV 72h, rep5","LEC KSHV 72h, rep6"
391356,-0.43679,0.0000010971,9.6768,9.6192,9.6375,9.5646,9.5498,9.5567,9.1345,9.1676,9.1341,9.1028,9.2858,9.1593
55143,-0.76746,0.0000011031,9.2887,8.9698,9.2737,9.4275,9.2807,9.2015,8.4441,8.2431,8.4175,8.6138,8.6526,8.4660
51094,0.47314,0.0000011079,9.8415,9.9006,10.006,9.9776,9.8430,9.9085,10.382,10.471,10.449,10.277,10.330,10.407
5066,0.54859,0.0000011177,10.925,10.891,10.957,10.719,10.811,10.818,11.493,11.482,11.489,11.298,11.284,11.368
5682,-0.41390,0.0000011249,12.227,12.151,12.178,12.138,12.105,12.058,11.759,11.760,11.699,11.670,11.766,11.719
2553,-0.47164,0.0000011401,8.8941,8.9403,8.9779,8.7825,8.7953,8.8485,8.4647,8.4370,8.4544,8.3693,8.3065,8.3770
8406,0.41002,0.0000011401,11.829,11.769,11.822,11.869,11.831,11.824,12.160,12.246,12.242,12.181,12.333,12.243
54545,0.47364,0.0000011433,7.9117,7.9106,7.8461,7.8382,7.9028,8.0164,8.2729,8.3647,8.4504,8.3197,8.3805,8.4792
4242,-0.45622,0.0000011776,8.6551,8.7054,8.7911,8.6862,8.6442,8.7253,8.2457,8.2986,8.1432,8.1968,8.2262,8.3593
56654,0.61394,0.0000011845,9.7612,9.4980,9.5717,9.7421,9.4776,9.4815,10.155,10.247,10.365,10.147,10.158,10.143
7520,-0.39348,0.0000011907,8.7093,8.7497,8.7617,8.6869,8.6436,8.6321,8.2854,8.2757,8.3310,8.3308,8.3193,8.2803
51504,-0.40663,0.0000011975,11.379,11.330,11.344,11.368,11.271,11.295,10.918,10.958,10.892,10.837,10.965,10.976
151636,1.0083,0.0000012178,8.5009,8.1067,8.3638,8.1237,8.3252,8.1172,9.5438,9.3516,9.3960,8.9704,8.9496,9.3762
10550,-0.45383,0.0000012232,10.950,10.967,10.944,10.902,10.852,10.976,10.489,10.582,10.532,10.345,10.461,10.459
51100,0.39481,0.0000012395,10.548,10.589,10.602,10.532,10.461,10.564,10.990,10.949,10.963,10.899,10.907,10.958
2012,0.60952,0.0000012786,8.3723,8.2564,8.2835,8.4017,8.3346,8.5225,8.9924,8.7620,8.9151,9.0836,9.1095,8.9656
