Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
85012,-0.25975,0.0055379,10.057,9.8417,10.215,9.9484,10.152,9.8966,10.075,9.6133,9.9991,9.6579,9.9249,9.9074
9637,-0.21249,0.0055424,9.5329,9.3667,9.6866,9.3234,9.5887,9.3319,9.4206,9.1808,9.4272,9.3934,9.4729,9.2578
55256,-0.16163,0.0055456,8.5933,8.4703,8.5573,8.4603,8.5671,8.4628,8.6262,8.3299,8.5598,8.3661,8.6252,8.4698
91252,0.15069,0.0055516,9.0465,9.1849,9.0277,9.2128,9.0021,9.2595,9.0666,9.1566,9.0277,9.1607,9.1037,9.2039
118460,0.20143,0.0055648,7.9418,8.0009,7.7449,7.9870,7.8004,7.9725,7.9528,8.0904,7.8978,8.1190,7.7763,8.1527
150786///84084///5870,0.21361,0.0055993,10.723,10.880,10.684,10.894,10.711,10.958,10.690,10.823,10.696,10.848,10.415,10.799
1186,-0.18276,0.0056230,8.1507,8.0049,8.3257,8.0865,8.1903,7.9560,8.1531,7.9146,8.1867,8.0230,8.0977,8.0226
7284,-0.18120,0.0056243,8.4492,8.3139,8.4057,8.2698,8.5281,8.1193,8.4834,8.2996,8.4862,8.3442,8.3982,8.3169
10567,0.18936,0.0056348,11.407,11.542,11.398,11.574,11.353,11.426,11.300,11.425,11.260,11.510,11.239,11.615
53343,-0.18085,0.0056377,9.3868,9.1974,9.3180,9.2839,9.3804,9.1728,9.2929,9.0476,9.3066,9.1332,9.3097,9.0746
6059,-0.19604,0.0056476,9.9131,9.7503,9.8590,9.6030,9.9351,9.7368,10.015,9.8337,9.9619,9.8685,10.031,9.7466
60488,-0.23220,0.0056881,9.2858,9.1091,9.2624,8.8862,9.4114,8.9915,9.3799,9.0279,9.2289,9.0905,9.1052,9.1752
740,-0.16756,0.0057219,9.7397,9.5692,9.7980,9.6195,9.7837,9.4668,9.7451,9.6002,9.7932,9.6382,9.6992,9.6598
7311,-0.14524,0.0057219,12.991,12.826,12.927,12.824,12.963,12.786,12.993,12.810,12.937,12.858,13.013,12.849
